S.A. Borders-Shoemaker, Blinded allegiance disallows knowledge of choosing and authenticity.
Seneca, It is not the man who has too little  but the man who craves more  that is poor.
Peter Drucker, You can’t manage what you don’t measure
Seneca, Don't put anything off. Balance your books with life each day.
Marcus Aurelius, Stop being aimless  stop allowing fears and anger to lead you astray. Instead  focus on doing what has to be done right now willingly  with precision  seriousness  and integrity. Free yourself from distractions. You can do it  if you approach each task as if it were your last.
Ryan Holiday, Whatever happens today  let it find us prepared and active: ready for problems  ready for difficulties  ready for people to behave in disappointing or confusing ways  ready to accept and make it work for us. Let's not wish we could turn back time or remake the universe according to our preference. Not when it would be far better and far easier to remake ourselves.
Alison McCone, [...] wisdom to know the value of every person I meet  temperance to monitor my emotional turbulence  and justice for others who need understanding.
Francisco Goya, When reason sleeps  monsters are born.
Steve Magness, True Confidence Is Quiet; Insecurity Is Loud
Carl Sagan, We’ve arranged a global civilization in which the most crucial elements […] profoundly depend on science and technology. We have also arranged things so that almost no one understands science and technology. This is a prescription for disaster. [...] Sooner or later this combustible mixture of ignorance and power is going to blow up in our faces.
Fyodor Dostoyevsky, People speak sometimes about the 'bestial' cruelty of man  but that is terribly unjust and offensive to beasts  no animal could ever be so cruel as a man  so artfully  so artistically cruel.
Lin Yutang, When small men begin to cast long shadows  it means the sun is setting.
Isaac Asimov, The strain of anti-intellectualism has been a constant thread winding its way through our political and cultural life  nurtured by the false notion that democracy means that my ignorance is just as good as your knowledge.
George Bernard Shaw, People are always blaming their circumstances for what they are. I don’t believe in circumstances. The people who get on in this world are they who get up and look for the circumstances they want  and  if they can’t find them  make them.
William Kingdon Clifford, It is wrong always  everywhere  and for anyone to believe anything on insufficient evidence.
Søren Kierkegaard, Life is not a problem to be solved  but a reality to be experienced.
Seneca, Often things that appear terrible during the night  seem ridiculous in the morning.
Fyodor Dostoevsky, Pain and suffering are always inevitable for a large intelligence and a deep heart. The really great men must  I think  have great sadness on earth.
Epictetus, If a person gave away your body to some passer-by  you’d be furious. Yet you hand over your mind to anyone who comes along  so they may abuse you  leaving it disturbed and troubled — have you no shame in that?
Sitting Bull, Yet hear me  people  we have now to deal with another race – small and feeble when our fathers first met them but now great and overbearing. Strangely enough they have a mind to till the soil and the love of possession is a disease with them. These people have made many rules that the rich may break but the poor may not. They take their tithes from the poor and weak to support the rich and those who rule.
Friedrich Nietzsche, The lonely one offers his hand too quickly to whomever he encounters.
Bertrand Russell, The hardest thing to learn in life is which bridge to cross and which to burn.
Justin Welsh, Modern luxury is the ability to think clearly  sleep deeply  move slowly  and live quietly in a world designed to prevent all four.
Marcus Aurelius, Remember that we suffer more from getting angry and upset about such things than we do from the things themselves that are making us angry and upset
